,id,post_id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count,hot_score
10,258466,49274539,"Splunk Mint: Failed to archive dSYMs for ""MyApp"" to ""/tmp/splunk-mint-dsyms""","<p>How to fix this error?</p>

<p>Splunk Mint: Archiving ""MyApp"" to ""/tmp/splunk-mint-dsyms/MyApp.zip""
  adding: MyApp</p>

<p>zip error: Interrupted (aborting)
Splunk Mint: Failed to archive dSYMs for ""MyApp"" to ""/tmp/splunk-mint-dsyms""
Command /bin/sh failed with exit code 252</p>

<p>Second error is </p>

<p>Splunk Mint: Archiving ""MyApp"" to ""/tmp/splunk-mint-dsyms/MyApp.zip""
  adding: MyApp (deflated 68%)
Splunk Mint: ERROR ""400"" while uploading ""/tmp/splunk-mint-dsyms/MyApp.zip""</p>",49274597.0,2,7,,2018-3-14 09:54:14,2.0,2019-11-8 00:02:46,,,,,4288553.0,,1,1,ios|objective-c|iphone|crashlytics|splunk,398,11
11,258467,49279349,How to find users who had only error for certain event?,"<p>We have log entries in format like this:
LogLevel=info  username=some1 eventID=update</p>

<p>So in case of error the LogLevel will be LogLevel=error 
LogLevel can also be debug</p>

<p>What I need to do is to find all users that had eventID=update but always had LogLevel=error and present them in table format 
Username | count</p>

<p>If I simply search </p>

<pre><code>eventID=update LogLevel=error | stats count by username
</code></pre>

<p>then I will get all matching entries for users with LogLevel=error but some of these users probably also had entries with LogLevel=info (or debug)
How do I find users that had only LogLevel=error with this eventID in a given time period?</p>",,1,0,,2018-3-14 13:44:38,,2018-3-14 15:43:30,,,,,2232662.0,,1,0,splunk,59,7
12,258468,49288425,Regex for positive lookahead on multiple comma seperated values,"<p>I want to come up with a regex to extract values from DML query statements like insert, update etc for particular columns only.</p>

<p>Sample DML -</p>

<pre><code>insert into abc_emp.employee (emp_name, emp_id, emp_dept)
values ('Scott Tiger', 2246, 'Accounts')

update abc_dept.department set dept_name = 'Sales', dept_head = 'Scott 
Tiger' where dept_id = 10

update abc_cust.dbo.customer set cust_name = 'Adam Jackson'
where cust_id = 1100
</code></pre>

<p>In above queries, columns of interest in my use-case are 
emp_name, emp_id from employee table,
dept_head from department table and cust_name from customer table</p>

<p>The regex I have come up with is-</p>

<pre><code>(?:insert into|update)(?:\s\w+[\.]((dbo\.)?)(employee|department|customer))
(?:\s([\(]|(set\s)))(?=.*?(emp_name|emp_id|dept_head|cust_name))
</code></pre>

<p>This gives the below result -
<a href=""https://regex101.com/r/qV5PJF/3"" rel=""nofollow noreferrer"">given regex</a>
<a href=""https://i.stack.imgur.com/yGsAH.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/yGsAH.png"" alt=""result""></a></p>

<p>While still incomplete, I was expecting this regex to have 4 matches instead of only 3. It is not matching <strong>emp_id</strong>. I suspect this is due to the | operator in the 6th capturing group -</p>

<pre><code>(emp_name|emp_id|dept_head|cust_name)
</code></pre>

<p>which is returning on the first occurrence of a match for any query. I want to have as many matches(1 or more) as possible from the capturing group not just one.
<strong>Is there any way this can be achieved?</strong></p>

<p>PS: My final requirement is to extract the values being put into these columns and do a substitution on them for masking the data. This regex would be part of a Splunk sed script where the substitution would happen.</p>

<p>Regex flavor - I think Splunk uses PCRE so Perl.</p>

<p>PPS: I'm quite new to regex.</p>

<p>Edit 1: Decided to take update and insert queries separately as suggested by @CAustin</p>

<p>for update, i have only reached till this point
<a href=""https://i.stack.imgur.com/gdILc.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/gdILc.png"" alt=""enter image description here""></a></p>

<p><a href=""https://regex101.com/r/dt9XTK/41"" rel=""nofollow noreferrer"">this is the regex</a></p>

<p>(?:update\s\w+?.(employee|department|customer)\s+?((set\s+?)))(?=emp_name)|(?=emp_id)|(?=dept_head)|(?=cust_name)|(?=cust_phone)</p>",,0,3,,2018-3-14 22:10:28,,2018-3-17 12:45:19,2018-3-17 12:45:19,,1135198.0,,1135198.0,,1,0,regex|regex-lookarounds|splunk,252,9
13,258469,49309925,Splunk query substract time,"<p>I have a Splunk search query like this:</p>

<pre><code>...earlier query.....
| eval sTime=mvindex(sTime,1), eTime=mvindex(eTime,1), 
TotalTime = strptime(sTime, ""%Y-%m-%dT%H:%M:%S%z"") - strptime(eTime, ""%Y-%m-%dT%H:%M:%S%z"") 
| table sTime eTime TotalTime
</code></pre>

<p>I have start and ebdtime like this in my log:</p>

<p>sTime:2018-03-14T19:18:10.851</p>

<p>eTime:2018-03-14T19:19:20.667</p>

<p>I am getting Totaltime is empty i.e. no values. What is the wrong in this query?
Was following Splunk forum here: <a href=""https://answers.splunk.com/answers/6005/subtract-two-timestamps-in-one-event.html"" rel=""nofollow noreferrer"">Link</a>.</p>",49310732.0,1,0,,2018-3-15 21:59:01,,2018-3-15 23:12:18,,,,,706295.0,,1,0,splunk|splunk-query,148,9
14,258470,49313548,"how can I find all dashboards in splunk, with usage information?","<p>I need to locate data that has become stale in our Splunk instance - so that I can remove it</p>

<p>I need a way to find all the dashboards, and sort them by usage.  From the audit logs I've been able to find all the actively used logs, but as my goal is to remove data, I most need the dashboards not in use</p>

<p>any ideas?</p>",,1,0,,2018-3-16 05:05:44,,2018-3-16 13:55:30,,,,,112321.0,,1,0,splunk|splunk-query,2523,14
15,258471,49323871,Openshift 3.4 Aggregated logging straight to splunk without Elastic Search,"<p>We are running Openshift Container Platform 3.4.1.  It is using the RedHat provided EFK aggregrated logging solution to log to Elastic Search.  We've also enabled to secure forwarder to Splunk.  Splunk is our strategic logging solution so we only really want the logs to go there.</p>

<p>We also experience situations whereby ES has an issue, and the logs no longer get forwarded to Splunk.</p>

<p>I'd consider just building a standalone Fluentd solution (that sends to Splunk), but our users are now familiar with the way that aggregated logging enriches the data, and I don't think a standalone FluentD container would do that.</p>

<p>Does anyone know if it is possible to modify the aggregated logging so that it doesn't go to ES at all, and only uses the secure forwarder to send the data to Splunk?  Or, drop the aggregated logging, and use a standard FluentD installation whilst maintaining the enrichment that aggregated logging provides?</p>

<p>BTW - it's only my second week with Openshift, so apologies if this is a vague or poor question :)
Thanks
M</p>",,0,3,,2018-3-16 15:04:24,,2018-3-16 15:04:24,,,,,345927.0,,1,0,openshift|splunk|openshift-enterprise|efk,365,10
16,258472,49361947,Splunk conditional count,"<p>I have some CSV data about files imported in to Splunk. The data looks like this:</p>

<pre><code>""\\domain\path\to\file\"",""&lt;filename&gt;"",""&lt;fsize&gt;"",""&lt;ext&gt;"",""&lt;Last_access&gt;"",""&lt;last_write&gt;"",""&lt;creation_time&gt;"",""&lt;attributes&gt;"",""&lt;owner&gt;""
</code></pre>

<p>I have converted all the date strings to epoch using:</p>

<pre><code>| eval epoch_LastAccessTime=strptime(LastAccessTime, ""%d/%m/%Y %H:%M:%S"")
...
...
</code></pre>

<p>I want to get:</p>

<ul>
<li>A percentage of files last accessed between 6 months and 3 years ago</li>
<li>A percentage of files last accessed 3 years or more ago.</li>
</ul>

<p>This is the search query that I have tried before getting stuck:</p>

<pre><code>index=""&lt;my_index&gt;"" sourcetype=""&lt;my_sourcetype&gt;"" 
| rex field=DirectoryName ""\\\domain\.org\\\teams\\\(?&lt;Team&gt;[^\\\]*)"" 
offset_field=_extracted_fields_bounds  
| eval epoch_LastAccessTime=strptime(LastAccessTime, ""%d/%m/%Y 
%H:%M:%S"") 
| eval _time=epoch_LastAccessTime
| timechart span=6mon count
</code></pre>

<p>I've tried using commands along the lines of:</p>

<pre><code>| where epoch_LastAccessTime&gt;=three_year_ago_from_now AND 
epoch_LastAccessTime&lt;=six_months_ago_from_now
</code></pre>

<p>However, this excludes everything else (3y+)</p>

<p>I want the result to look something like:</p>

<pre><code>TimeRange  Perc
6m-3y      60%
3y+        40%
</code></pre>",49368493.0,1,0,,2018-3-19 11:31:40,,2018-3-19 17:00:30,,,,,9418600.0,,1,1,splunk|splunk-query,2808,13
17,258473,49362270,SplunkMint uploading dSym,"<p>I am receiving this error every time I try to run the following script (SplunkMint script to upload the dsym file automatically in order to symbolicate):</p>

<pre><code>SCRIPT=`/usr/bin/find ""${SRCROOT}"" -name splunkmint_postbuild_dsym_upload_script.sh | head -n 1`

/bin/bash ""${SCRIPT}"" ""API_KEY"" ""API_TOKEN""
</code></pre>

<p>I put my API_KEY and API_TOKEN but they are hidden for security reasons.</p>

<pre><code>Splunk Mint: Archiving ""appName"" to ""/tmp/splunk-mint-dsyms/appName.zip""
  adding: appName (deflated 72%)
Splunk Mint: ERROR ""400"" while uploading ""/tmp/splunk-mint-dsyms/appName.zip""
Command /bin/sh failed with exit code 252
</code></pre>

<p>I don't know what can cause this issue, I just used other previous versions that I didn't had the issue and now I do.</p>

<p>I am using <strong>Swift 4</strong> and <strong>Xcode 9.2</strong>,
Thanks.</p>",,0,7,,2018-3-19 11:49:54,1.0,2018-3-19 11:49:54,,,,,5288983.0,,1,2,xcode|splunk,217,9
18,258474,49402269,Splunk Query: Find the transactions that are taking more than 5 seconds,"<p>Below is my search properties, Want add dashboard to show the transaction(transID, activity) that are having elapsedTime more than 5000</p>

<p><strong>2018-03-21 04:08:13.159-05:00  INFO - [http-/0.0.0.0:8080-4] |eventStartTime=2018-03-21 04:08:13.092 CDT|STATUS=SUCCESS|activity=POST->/xyz.com|eventElapsedTime=66|status=SUCCESS|transID=30d2e919-bd4d-4bad-a3c8-52cc69d10b43|eventEndTime=2018-03-21 04:08:13.159 CDT</strong> </p>",,1,2,,2018-3-21 09:17:18,,2021-2-23 16:13:57,2021-2-23 16:13:57,,4418.0,,6105986.0,,1,0,splunk|splunk-dashboard,206,10
19,258475,49424315,How can I use regex to replace a character in part of a string,"<p>I have the following string:</p>

<pre><code>  This is part 1: and this is part 2
</code></pre>

<p>The string starts with 2 spaces, has an part before the separator "":"" and a part after the separator.</p>

<p>I want to replace every space before the separator, except the spaces at the beginning of the line, with an underscore and leave the spaces after the separator.</p>

<p>The end result should look like this:</p>

<pre><code>  This_is_part_1: and this is part 2
</code></pre>

<p>The part before the separator is of variable length and has a variable number of spaces.</p>

<p>This regex will be used in Splunk which uses a sed based replacement mechanism.</p>

<p>Is what I want at all possible and if so, how?</p>",,1,1,,2018-3-22 08:58:14,,2018-3-23 08:00:46,,,,,2688929.0,,1,0,regex|sed|replace|splunk,339,11
20,258476,49441826,Splunk: find what a user is searching for?,"<p>I am trying to write a Splunk SPL query that will show me the most popular search terms that a user is looking for in one of my web apps. I have the logs already in Splunk but I am having a hard time extract the search parameter from the event. The event shows the full SQL select statement that looks like the query below:</p>

<pre><code>select result from table where search_term = 'searched for this text'
</code></pre>

<p>How can I have this:</p>

<pre><code>index=my_app search_term | top result
</code></pre>

<p>How do I actually capture the search term?</p>

<p>Thank you</p>",,1,0,,2018-3-23 03:15:53,,2018-3-23 12:05:21,,,,,1467996.0,,1,2,splunk|splunk-query,93,9
21,258477,49518554,Splunk rest curl query fails to execute on the successive attempts with the session key authorization,"<p>First attempt creates the splunk SID, but fails on the successive attempts to create search id.
Same issue occurs while polling/consuming the search after SID creation on its successive attempts. Can anybody point out helping the missing part?</p>

<p><strong>Curl query used :</strong> </p>

<p><strong><em>curl -H 'Authorization:Splunk sessionkeyincluded' <a href=""https://hostname:60659/services/search/jobs"" rel=""nofollow noreferrer"">https://hostname:60659/services/search/jobs</a> -d search=""search sourcetype=\""xx:yy\""  earliest=\""03/19/2018:07:00:00\"" latest=\""03/19/2018:07:15:00\"" | stats count""</em></strong></p>

<pre><code>&lt;?xml version=""1.0"" encoding=""UTF-8""?&gt;
&lt;response&gt;
  &lt;sid&gt;1522168074.7125_E472E7F2-9BEF-4117-A49A-8281B171EF1E&lt;/sid&gt;
&lt;/response&gt;
</code></pre>

<p><strong>successive attempts fails with authentication failure mentioning  ""call not properly authenticated""</strong></p>

<pre><code>&lt;?xml version=""1.0"" encoding=""UTF-8""?&gt;
&lt;response&gt;
  &lt;messages&gt;
    &lt;msg type=""WARN""&gt;call not properly authenticated&lt;/msg&gt;
  &lt;/messages&gt;
&lt;/response&gt;
</code></pre>",,0,0,,2018-3-27 16:59:48,,2018-3-27 16:59:48,,,,,1609653.0,,1,3,curl|splunk|splunk-query|splunk-sdk,519,10
