id,phase,category,post_id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count,hot_score
258815,1,Method,70363446,How to add Faraday request body into Datadog tracing in a Rails app,"<p>I'm trying to configure Faraday tracing in a Rails application using Datadog.</p>
<p>I've set up the Faraday -&gt; Datadog connection:</p>
<pre><code>require 'faraday'
require 'ddtrace'

Datadog.configure do |c|
  c.use :faraday
end

Faraday.post(&quot;http://httpstat.us/200&quot;, {foo: 1, bar: 2}.to_json)
Faraday.get(&quot;http://httpstat.us/201?foo=1&amp;bar=2&quot;)
</code></pre>
<p>It works well, the requests are being logged to Datadog.</p>
<p>But those logs do not contain any request parameters, nevertheless GET or POST.</p>
<p><img src=""https://i.stack.imgur.com/BjQtO.png"" alt=""GET request log"" />  <img src=""https://i.stack.imgur.com/izvZO.png"" alt=""POST request log"" /></p>
<p>Any adviсe on how to get the request params/body logged to Datadog?</p>",70369006,1,2,,2021-12-15 12:07:59,1,2021-12-17 17:01:24,2021-12-17 17:01:24,,6226962,,6226962,,1,2,ruby-on-rails|trace|datadog|faraday|apm,213,
258816,3,Visualization,70387904,"Showing ""Last Deploy"" in DataDog Dashboard","<p>In the Datadog Services View, there's a notion of last deploy:</p>
<p><a href=""https://i.stack.imgur.com/0C8d2.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/0C8d2.png"" alt=""enter image description here"" /></a></p>
<p>Anyone know how I canshow that value in a Dashboard for a given service?</p>
<p>Thanks!</p>",,0,0,,2021-12-17 02:52:38,,2021-12-17 02:52:38,,,,,286485,,1,0,datadog,9,
258817,1,Method,70400632,Is there an API for datadog's agent to send series?,"<p>I can send data to datadog directly or through their agent. However I can't find how to use the agent to send time series (datadog's <a href=""https://docs.datadoghq.com/api/latest/metrics/#submit-metrics"" rel=""nofollow noreferrer"">doc</a> - api/v1/series endpoint)</p>
<p>Is there a way to do this through the agent? (The agent adds some extra tags, and I'd like to reuse that rather than a direct API call)</p>",,0,0,,2021-12-18 02:44:56,,2021-12-18 02:44:56,,,,,2210667,,1,0,datadog,16,
258818,3,Visualization,70458324,Datadog display logs after extracting,"<p>so I have a pipeline with an ngork key value parse rule and it successfully parses out <code>key=value</code> from the logs into the metdata. However, how do I now display the rest of the log message after all of that has been parsed out in the main log view? It's still showing the original log messages with all the kv pairs making it super hard to scan/read.</p>",,0,0,,2021-12-23 06:15:55,,2021-12-23 06:15:55,,,,,798055,,1,0,datadog,9,
258819,0,Integration,70462760,golang gofiber framework demo in k8s with Datadog APM integration --how to add tracer and profiler?,"<p>I have a small proof-of-concept project to add DataDog APM/tracing capabilities to a gofiber (<a href=""https://github.com/gofiber"" rel=""nofollow noreferrer"">https://github.com/gofiber</a>) web app. The app is up and running in an EKS environment which already has strong DataDog integration (agent, APM enabled for entire cluster, etc).</p>
<p>I am still learning the ropes with gofiber.  My question is, what is the simplest and most efficient way to add the tracer and profile to my project?</p>
<p>DataDog is recommending these two packages:</p>
<pre><code>go get gopkg.in/DataDog/dd-trace-go.v1/ddtrace/tracer
go get gopkg.in/DataDog/dd-trace-go.v1/profiler
</code></pre>
<p>Currently I have a simple <code>main.go</code> file serving &quot;Hello World&quot; at /, using one of the gofiber recipes.</p>
<p>Can I add the tracer and profile as separate functions in the same file or should I have separate files for these in my project?</p>
<p>Definitely trying to avoid running an entirely separate container in my pod for this tracing capability.  Thanks for any advice or suggestions.</p>",,0,1,,2021-12-23 13:25:45,,2021-12-23 13:25:45,,,,,9820773,,1,2,go|kubernetes|amazon-eks|datadog|go-fiber,72,
258820,1,Method,70487976,Datadog: How to get a user's user_id using Datadog python library?,"<p>I'd like to run through a list of Datadog users and change their role from Standard role to Read-only.</p>
<p>Both when I run:</p>
<pre><code>api.User.get('some users email')
</code></pre>
<p>and</p>
<pre><code>api.User.get_all()
</code></pre>
<p>The user_id of a user is not displayed and that is the parameter that I need in order to run my script which will run through and change 95 users role.</p>
<p>The only way I found to display a user's user_id, is by going in the UI to Organization settings -&gt; Users -&gt; select a specific user and then the URL displays <code>user_id=47f261a0-fff9-11ab-bccc-da7ad0904453</code></p>
<p>Does anybody know a possibly api-related way to extract a user's user_id from Datadog?</p>",,0,0,,2021-12-26 16:16:40,,2021-12-26 16:16:40,,,,,1702942,,1,0,python|datadog,13,
258821,0,Integration,70507276,Integrating Apache beam with Datadog,<p>I want to monitor an apache beam pipeline through the Datadog. How can I integrate Datadog with the apache beam?</p>,,0,1,,2021-12-28 12:45:22,,2021-12-28 14:10:47,2021-12-28 14:10:47,,13447,,8279787,,1,0,apache-beam|datadog,31,
258822,0,Configuration,70520035,Terraform-Datadog: Locate index inside a map element,"<p>I have created an monitors and slo resources that iterate through a map and creates several similar objects.
Now I am trying to create a dashboard and would like to pin point to the specific map index to find the slo resource. Example:</p>
<p>I have the bellow map:</p>
<pre><code>example_map = {
    example_key0 = &quot;example_value0&quot;
    example_key1 = &quot;example_value1&quot;
    example_key2 = &quot;example_value2&quot;
}
</code></pre>
<p>I created the bellow slo's(monitors created in similar way):</p>
<pre><code>resource &quot;datadog_service_level_objective&quot; &quot;example_SLO&quot; {
  count = length(var.example_map)
  name               = &quot;example_slo_${keys(var.example_map)[count.index]}&quot;
  type               = &quot;monitor&quot;
  description        = &quot;${keys(var.example_map)[count.index]} metric SLO&quot;
  monitor_ids        = [&quot;${datadog_monitor.example_monitor[count.index].id}&quot;]
  thresholds {
    timeframe = &quot;90d&quot;
    target = 99
    warning = 99.9
  }
  tags = [&quot;type:slo_alerts&quot;]
}
</code></pre>
<p>Each of these resources is then identified by the index(example_SLO[0], example_SLO[1],etc..)
On the dashboard i would like to pin point to the example key to get it's index. The bellow fails but I hope this example explains what i am to achieve:</p>
<pre><code>widget {
      service_level_objective_definition {
        title = &quot;example SLO&quot;
        view_type = &quot;detail&quot;
        slo_id = datadog_service_level_objective.example_SLO[${index(keys(var.example_map), example_key2)}].id
        show_error_budget = true
        view_mode = &quot;overall&quot;
        time_windows = [
          &quot;7d&quot;,
          &quot;30d&quot;,
          &quot;previous_month&quot;]
      }
    }
</code></pre>
<p>Else is it possible to create a <code>for_each</code> or <code>count</code> argument for a widget? Create several objects from the same widget.</p>
<p>Thank you very much in advance for any help as this has become a roadblock in my attempt to reduce the configurations through map iteration. Which brings several levels of complexity.</p>",,1,0,,2021-12-29 13:21:34,,2021-12-29 14:15:29,,,,,17788915,,1,1,terraform|datadog,42,
258823,0,Configuration,70536077,How to enable StatsD in Spring Boot?,"<p>I have Spring Boot 2.5.2 and I am trying to send StatsD metrics to Datadog. However, that didn't work for me. So I wrote a single python script to check if my application is sending any data or not.</p>
<p>application.properties</p>
<pre><code>management.metrics.export.statsd.enabled=true
management.metrics.export.statsd.host=localhost
management.metrics.export.statsd.port=8125
</code></pre>
<p>Python script</p>
<pre><code>from socket import *
serverName = 'localhost'
serverPort = 12000
serverSocket = socket(AF_INET, SOCK_DGRAM)
serverSocket.bind((serverName, serverPort))
print(&quot;Server is ready.&quot;)


while True:
    msg, clientAddr = serverSocket.recvfrom(2048)
    word = msg.decode()
    print(word)
    msg = ''
    serverSocket.sendto(msg.encode(), clientAddr)
</code></pre>
<p>I tested this script with the following command:</p>
<pre><code>$ echo &quot;foo:1|c&quot; | nc -u -w0 127.0.0.1 12000
</code></pre>
<p>and it was logged by the script.</p>
<p>I changed <code>management.metrics.export.statsd.port</code> to 12000, but nothing was being sent. Is there a way to diagnose this?</p>",,0,3,,2021-12-30 19:50:22,,2021-12-30 19:50:22,,,,,4777670,,1,1,spring-boot|datadog|micrometer|statsd|spring-micrometer,67,
261329,1,Method,62042278,How to determine the time Node.js spends to send an HTTP response body?,"<p>My current setup involves a Node.js web application using Express.js.<br>
I am using DataDog's dd-tracer to measure the time Node.js spends for particular method invocations as part of my APM solution.</p>

<p>I would like to know if it is possible to measure the portion of time an incoming HTTP request is busy sending data back to the client as HTTP response body.</p>

<p>Are there any pitfalls or inaccuracies involved when trying to do this kind of instrumentation?<br>
Does anybody know why this is not measured by APM client libraries by default?</p>",62047980,4,0,,2020-5-27 11:42:39,,2020-6-5 05:01:37,,,,,10473469,,1,7,node.js|express|instrumentation|datadog|apm,992,29.586
261330,2,Query,63650568,How to search Datadog logs by Attribute,"<p>Question about searching logs in Datadog.</p>
<p>Search works on regular strings in the CONTENT portion of the log.  However, if JSON is passed to the CONTENT portion, the JSON elements are automatically parsed into Attributes.  But the Attributes are NOT searchable.</p>
<p>How do I search for logs by Attribute?</p>
<p>It seems like a step backwards to supply log data in JSON to improve indexing, but then LOSE the ability to search on those elements.</p>",,2,0,,2020-8-29 18:39:32,,2021-4-1 18:13:01,,,,,155963,,1,7,datadog,4789,26.521
261331,2,Query,57918254,Datadog: Use a tag value in an alias,"<p>I have a timeseries graph in a time board that displays data for one metric that has multiple tags called ""page"". The graph has one line for each tag and I'm running functions on the values, so the query for my data is ""ewma_5(avg:client.load_time{env:prod}) by {page}"". This query means the tooltip values when I hover on the graph are things like ""ewma_5(avg:client.load_time{env:prod})"".</p>

<p>I want to know if there is anyway to use the alias function with the tag value in it, so something like ""alias"": ""{page}""?</p>",59791963,1,3,,2019-9-13 06:20:08,3,2020-1-17 17:12:16,,,,,1787315,,1,8,statsd|datadog,1140,24.8276
261332,1,Parse,62092243,Datadog Grok Parsing - extracting fields from nested JSON,"<p>Is it possible to extract json fields that are nested inside a log?</p>

<p>Sample I've been work on:</p>

<pre><code>thread-191555 app.main - [cid: 2cacd6f9-546d-41ew-a7ce-d5d41b39eb8f, uid: e6ffc3b0-2f39-44f7-85b6-1abf5f9ad970] Request: protocol=[HTTP/1.0] method=[POST] path=[/metrics] headers=[Timeout-Access: &lt;function1&gt;, Remote-Address: 192.168.0.1:37936, Host: app:5000, Connection: close, X-Real-Ip: 192.168.1.1, X-Forwarded-For: 192.168.1.1, Authorization: ***, Accept: application/json, text/plain, */*, Referer: https://google.com, Accept-Language: cs-CZ, Accept-Encoding: gzip, deflate, User-Agent: Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko, Cache-Control: no-cache] entity=[HttpEntity.Strict application/json {""type"":""text"",""extract"": ""text"", ""field2"":""text2"",""duration"": 451 }
</code></pre>

<p>what I wanted to achieve was:</p>

<pre><code>{
""extract"": ""text"",
""duration"": ""451""
}
</code></pre>

<p>I tried to combine a sample regex (<code>""(extract)""\s*:\s*""([^""]+)"",?</code>) with <code>example_parser %{data::json}</code> (using the JSON as a log sample data, for starters) but I haven't managed to get anything working.</p>

<p>Thanks in advance!</p>",62096791,1,0,,2020-5-29 18:10:52,,2020-5-30 01:32:36,,,,,7827582,,1,4,json|logging|datadog,4125,21.2617
